# Environmental Performance Index

The 2024 EPI combines 58 indicators across 11 issue categories, ranging from climate change mitigation and air pollution to waste management, sustainability of fisheries and agriculture, deforestation, and biodiversity protection.

| country | rank | Score | 10y ∆ |
| [Mongolia](https://epi.yale.edu/country/2024/MNG) | 143 | 37.2 | 5.7 |
| [Turkiye](https://epi.yale.edu/country/2024/TUR) | 143 | 37.2 | 2.5 |
| [Ghana](https://epi.yale.edu/country/2024/GHA) | 145 | 36.9 | 1.7 |
| [Kenya](https://epi.yale.edu/country/2024/KEN) | 145 | 36.9 | 2.1 |
| [Lesotho](https://epi.yale.edu/country/2024/LSO) | 145 | 36.9 | 1.4 |
| [Papua New Guinea](https://epi.yale.edu/country/2024/PNG) | 145 | 36.9 | -6.9 |
| [Guinea](https://epi.yale.edu/country/2024/GIN) | 149 | 36.5 | -3.2 |
| [Haiti](https://epi.yale.edu/country/2024/HTI) | 150 | 36.4 | 7.5 |
| [Ethiopia](https://epi.yale.edu/country/2024/ETH) | 151 | 36.3 | 4.0 |
| [Sao Tome and Principe](https://epi.yale.edu/country/2024/STP) | 152 | 36.2 | 0.2 |
| [Chad](https://epi.yale.edu/country/2024/TCD) | 153 | 35.9 | 1.2 |
| [Uganda](https://epi.yale.edu/country/2024/UGA) | 154 | 35.8 | 4.9 |
| [Togo](https://epi.yale.edu/country/2024/TGO) | 155 | 35.7 | -1.8 |
| [China](https://epi.yale.edu/country/2024/CHN) | 156 | 35.4 | 7.4 |
| [Bahrain](https://epi.yale.edu/country/2024/BHR) | 157 | 35.3 | -1.2 |
| [Malawi](https://epi.yale.edu/country/2024/MWI) | 158 | 35.1 | -6.3 |
| [Mauritania](https://epi.yale.edu/country/2024/MRT) | 159 | 34.6 | -3.6 |
| [Mali](https://epi.yale.edu/country/2024/MLI) | 160 | 34.5 | -3.4 |
| [Liberia](https://epi.yale.edu/country/2024/LBR) | 161 | 34.3 | 1.3 |
| [Rwanda](https://epi.yale.edu/country/2024/RWA) | 162 | 33.9 | -0.7 |
| [Indonesia](https://epi.yale.edu/country/2024/IDN) | 163 | 33.6 | 5.9 |
| [Burundi](https://epi.yale.edu/country/2024/BDI) | 164 | 33.5 | 0.2 |
| [Nepal](https://epi.yale.edu/country/2024/NPL) | 165 | 33.1 | 0.7 |
| [Guatemala](https://epi.yale.edu/country/2024/GTM) | 166 | 32.5 | -3.6 |
| [Djibouti](https://epi.yale.edu/country/2024/DJI) | 167 | 32.3 | -0.1 |
| [Tajikistan](https://epi.yale.edu/country/2024/TJK) | 167 | 32.3 | -4.9 |
| [Philippines](https://epi.yale.edu/country/2024/PHL) | 169 | 32.1 | -0.9 |
| [Cambodia](https://epi.yale.edu/country/2024/KHM) | 170 | 31.2 | 0.4 |
| [Afghanistan](https://epi.yale.edu/country/2024/AFG) | 171 | 31.0 | 13.7 |
| [Iraq](https://epi.yale.edu/country/2024/IRQ) | 172 | 30.3 | 5.1 |
| [Madagascar](https://epi.yale.edu/country/2024/MDG) | 173 | 30.1 | 0.2 |
| [Eritrea](https://epi.yale.edu/country/2024/ERI) | 174 | 29.0 | -2.0 |
| [Bangladesh](https://epi.yale.edu/country/2024/BGD) | 175 | 28.1 | 2.4 |
| [India](https://epi.yale.edu/country/2024/IND) | 176 | 27.6 | 4.7 |
| [Myanmar](https://epi.yale.edu/country/2024/MMR) | 177 | 27.1 | -2.7 |
| [Laos](https://epi.yale.edu/country/2024/LAO) | 178 | 26.3 | 1.1 |
| [Pakistan](https://epi.yale.edu/country/2024/PAK) | 179 | 25.5 | -4.0 |
| [Viet Nam](https://epi.yale.edu/country/2024/VNM) | 180 | 24.6 | -4.7 |
